ClusterName,ProjectLine,ProjectDesc,ProjectCode,Namespace,WorkloadName,CreateTime,WorkloadRam,WorkloadCpu,WorkloadReplicas
crc-itcp-prd-02,智能风控,非现场审计系统,adas,adas-prod,data-service,2024/07/27,4096,0,2
crc-itcp-prd-02,智能风控,非现场审计系统,adas,adas-prod,file-service,2024/07/27,2048,0,2
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-base-asmp-crcprd,2021/11/16,3072,1,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-car-asmp-crcprd,2023/07/04,3072,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-eureka-service-asmp-crcprd,2020/06/02,2048,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-exhibitionhall-asmp-crcprd-c9nhk2,2022/01/13,3072,1,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-file-asmp-crcprd,2021/11/16,2048,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-frontend-asmp-crcprd,2020/06/02,1024,1,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-meetingroom-asmp-crcprd,2022/05/20,3072,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-menu-asmp-crcprd,2021/11/16,3072,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-mtt-base-asmp-crcprd,2022/04/28,3072,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-mtt-eureka-service-asmp-crcprd,2020/06/02,2048,1,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-mtt-file-asmp-crcprd,2022/04/28,2048,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-mtt-frontend-asmp-crcprd,2022/05/19,1024,1,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-mtt-mams-rest-asmp-crcprd,2020/06/02,5120,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-mtt-mdm-sync-asmp-crcprd,2022/07/04,3584,2,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-mtt-meetingroom-asmp-crcprd,2022/04/28,4096,4,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-mtt-zuul-service-asmp-crcprd,2020/06/02,2048,1,0
crc-itcp-prd-02,协同效率,行政服务平台,asmp,asmp-crcprd,asmp-physical-examination-asmp-crcprd,2021/11/16,3072,1,0
